Model,Capacity,range(km),maintenance cost per hour,Price(USD)
Bombardier CRJ200,50,3000,688.67,20773706.74
Airbus A320,180,6300,1402.91,72344859.18
Boeing 777,396,15600,4479.74,455056473.8
Boeing 737,162,5700,2539.54,79231145.62
Bombardier CRJ200,50,3000,2180.86,16551428.45
Boeing 777,396,15600,1896.11,546173813.9
Boeing 737,162,5700,638.51,61688526.91
Airbus A320,180,6300,3175.09,140995714.7
Boeing 777,396,15600,2482.18,588862029.9
Airbus A320,180,6300,3813.56,83732943.61
Bombardier CRJ200,50,3000,4653.42,12744718.38
Boeing 737,162,5700,4931.14,96609129.32
Boeing 777,396,15600,4176.05,619505339.1
Boeing 777,396,15600,4027.72,674440880.3
Cessna 172,4,1285,802.29,357891.96
Airbus A320,180,6300,4884.37,62598633
Airbus A320,180,6300,699.75,143878658.1
Cessna 172,4,1285,2745.11,343069.44
Boeing 777,396,15600,3136.57,387269058.8
Airbus A320,180,6300,3143.25,125825598.9
Bombardier CRJ200,50,3000,4672.72,11970690.13
Bombardier CRJ200,50,3000,931.15,11413928.75
Boeing 777,396,15600,1969.03,942637211
Boeing 737,162,5700,509.37,64448122.32
Airbus A320,180,6300,990.57,77576878.6
Boeing 777,396,15600,1556.93,412739329.3
Boeing 777,396,15600,2132.3,756993402.9
Bombardier CRJ200,50,3000,4520.84,12634609.76
Bombardier CRJ200,50,3000,4921.52,12162772.53
Boeing 737,162,5700,4313.08,56632356.15
Bombardier CRJ200,50,3000,1441.33,20840699.28
Cessna 172,4,1285,2798.52,255524.91
Boeing 737,162,5700,4943.12,90556787.52
Cessna 172,4,1285,2245.85,241172.44
Cessna 172,4,1285,4849.92,187954.35
Bombardier CRJ200,50,3000,3559.48,12691644.75
Airbus A320,180,6300,4906.69,65750339.6
Bombardier CRJ200,50,3000,4719.37,12271507.09
Boeing 737,162,5700,3394.86,71370476.77
Bombardier CRJ200,50,3000,931.81,11607716.7
Cessna 172,4,1285,3281.76,385688.63
Boeing 777,396,15600,2728.86,478321818.8
Airbus A350,350,14800,2891.16,622988224.1
Cessna 172,4,1285,2030.04,428076.65
Boeing 737,162,5700,526.29,64315841.85
Boeing 737,162,5700,1432.81,51872606.87
Boeing 737,162,5700,1742.83,73659063.3
Boeing 737,162,5700,1152.73,108029519.4
Cessna 172,4,1285,3727.42,358385.64
Airbus A320,180,6300,589.69,89033504.95
Airbus A350,350,14800,2579.72,719797107.2
Airbus A350,350,14800,1422.88,422852563.5
Boeing 777,396,15600,4210.59,703487110.5
Bombardier CRJ200,50,3000,2144.54,18066031.42
Cessna 172,4,1285,3662.36,379653.46
Airbus A350,350,14800,2541.39,394081342.7
Boeing 777,396,15600,2575.41,402841152.6
Boeing 737,162,5700,4778.37,66220197.38
Boeing 737,162,5700,1591.11,65883389.41
Bombardier CRJ200,50,3000,1137.63,20676190.81
Boeing 737,162,5700,4947.82,100028123.2
Airbus A320,180,6300,3919.04,64094007.46
Cessna 172,4,1285,4523.44,309032.45
Boeing 737,162,5700,2564.3,126046757.4
Airbus A350,350,14800,1541.54,374351437.6
Bombardier CRJ200,50,3000,4064.38,11605027.54
Cessna 172,4,1285,3890.23,381548.24
Airbus A320,180,6300,3291.29,66040363.35
Airbus A350,350,14800,564.99,375998234.2
Boeing 777,396,15600,2718.99,380931466
Boeing 737,162,5700,1790.33,65923326.66
Bombardier CRJ200,50,3000,4427.92,10047356.23
Cessna 172,4,1285,1503.72,384644.9
Bombardier CRJ200,50,3000,725.47,12195808.72
Bombardier CRJ200,50,3000,2173.68,11830215.56
Airbus A320,180,6300,2951.84,118132487.5
Airbus A350,350,14800,3996.11,604449976.3
Boeing 737,162,5700,4512.81,97158362.11
Boeing 737,162,5700,4734.5,68394034.43
Airbus A320,180,6300,4670.82,108282402.8
Boeing 737,162,5700,2698.53,63344438.47
Cessna 172,4,1285,3624.91,199261.35
Airbus A350,350,14800,1863.46,509643349.9
Boeing 737,162,5700,3400.04,66659727.61
Airbus A320,180,6300,1970.4,151781956.5
Boeing 737,162,5700,2289.05,60502088.71
Airbus A320,180,6300,4530.65,64657786
Airbus A320,180,6300,2206.59,84106391.63
Boeing 777,396,15600,4791.97,422888489.3
Cessna 172,4,1285,2334.24,294448.88
Airbus A350,350,14800,1863.13,644878972.4
Airbus A350,350,14800,1152.47,709863532
Airbus A350,350,14800,4282.2,669473565.4
Airbus A320,180,6300,4557.53,141464771.9
Cessna 172,4,1285,1891.82,212014.73
Bombardier CRJ200,50,3000,1562.12,13011736.7
Airbus A320,180,6300,4367.11,72667701.12
Boeing 737,162,5700,4440.28,95534344.18
Airbus A320,180,6300,3242.1,78538703.75
Airbus A320,180,6300,3528.02,104377266.6
Cessna 172,4,1285,2551.41,386966.53
Airbus A350,350,14800,3588.01,391417934.6
Airbus A320,180,6300,1553.44,162141841.3
Cessna 172,4,1285,3491.59,216224.13
Boeing 737,162,5700,1241.49,109244351.4
Airbus A350,350,14800,2339.21,390652472.7
Boeing 737,162,5700,1967.6,94337640.02
Cessna 172,4,1285,3975.53,341663.6
Boeing 737,162,5700,1876.04,53653743.53
Cessna 172,4,1285,1996.81,190123.88
Bombardier CRJ200,50,3000,1896.21,17325025.72
Cessna 172,4,1285,2256.41,248800.13
Cessna 172,4,1285,1351.27,369170.47
Bombardier CRJ200,50,3000,2042.8,17519585.16
Cessna 172,4,1285,2203.12,280917.02
Boeing 777,396,15600,4476.81,714375145.5
Cessna 172,4,1285,3920.1,428024.8
Bombardier CRJ200,50,3000,2440.01,22676488.36
Airbus A350,350,14800,1824.13,370357673.2
Boeing 777,396,15600,1893.3,385360346.2
Boeing 777,396,15600,4550.62,786786074.9
Bombardier CRJ200,50,3000,4280.51,18316957.77
Airbus A320,180,6300,1872.93,78600820.32
Boeing 737,162,5700,4242.44,56797002.51
Cessna 172,4,1285,2609.5,228233.19
Cessna 172,4,1285,1214.78,202622.36
Airbus A320,180,6300,575.9,73817055.51
Airbus A320,180,6300,3398.43,73125176.14
Airbus A350,350,14800,1107.48,522732109.7
Cessna 172,4,1285,909.36,235266.08
Cessna 172,4,1285,4066.47,205815.81
Airbus A350,350,14800,3760.59,419192822.9
Bombardier CRJ200,50,3000,3575.75,11003751.17
Airbus A350,350,14800,3280.8,408338977.5
Airbus A350,350,14800,1230.39,361047930
Airbus A320,180,6300,2040.27,67928038.75
Bombardier CRJ200,50,3000,4169.75,13696425.34
Cessna 172,4,1285,3508.53,203125.73
Bombardier CRJ200,50,3000,3230.64,20627282.92
Boeing 777,396,15600,3101.93,796905359
Cessna 172,4,1285,1030.7,217860.64
Cessna 172,4,1285,1899.48,255602.21
Boeing 737,162,5700,3087.71,93283903.52
Bombardier CRJ200,50,3000,4870.98,11667168.04
Bombardier CRJ200,50,3000,1651.2,19111247.72
Airbus A350,350,14800,2951.26,448113876.9
Cessna 172,4,1285,3798.11,193172.96
Cessna 172,4,1285,2280.91,194521.89
Bombardier CRJ200,50,3000,1641.54,12421674.02
Bombardier CRJ200,50,3000,948.96,11772632.35
Cessna 172,4,1285,705.54,251784.69
Airbus A350,350,14800,676.78,350873357.6
Bombardier CRJ200,50,3000,1770.22,13910735.67
Boeing 737,162,5700,4090.06,103109555
Airbus A350,350,14800,664.55,368283014.9
Bombardier CRJ200,50,3000,2985.66,12759007.07
Cessna 172,4,1285,4486.21,237133.74
Boeing 777,396,15600,2638.35,443790070.2
Airbus A320,180,6300,3246.24,109253290.9
Cessna 172,4,1285,3450.29,184770.87
Cessna 172,4,1285,2454.78,236138.7
Boeing 777,396,15600,4438.87,666938864.5
Boeing 737,162,5700,4953.12,67669535.58
Airbus A320,180,6300,1800.4,84712741.11
Bombardier CRJ200,50,3000,1887.06,17765353.93
Cessna 172,4,1285,3223.15,267806.4
Boeing 737,162,5700,3818.69,59715436.43
Airbus A350,350,14800,1374.09,621134471.2
Boeing 737,162,5700,2050.56,54267387.48
Airbus A320,180,6300,1433.2,116229578.4
Boeing 737,162,5700,1540.94,56254227.37
Airbus A350,350,14800,3584.88,592777065.6
Cessna 172,4,1285,3261.47,424360.96
Boeing 737,162,5700,1948.46,71817743.15
Cessna 172,4,1285,576.64,209817.71
Boeing 777,396,15600,4463.47,419564759.6
Airbus A350,350,14800,1647.89,348367299.6
Cessna 172,4,1285,2200.95,220051.9
Airbus A350,350,14800,2326.83,781942983.2
Bombardier CRJ200,50,3000,4792.84,11779083.91
Bombardier CRJ200,50,3000,723.73,12893068.76
Bombardier CRJ200,50,3000,848.73,12789733.63
Boeing 737,162,5700,2420.58,96274033.62
Airbus A350,350,14800,4990.81,575965499.6
Airbus A350,350,14800,1377.32,315111570.1
Bombardier CRJ200,50,3000,2474.85,16079281.88
Bombardier CRJ200,50,3000,2789.07,14098344.22
Bombardier CRJ200,50,3000,1191.85,11205403.29
Airbus A320,180,6300,3618.89,91541211.93
Cessna 172,4,1285,3824.93,241230.64
Airbus A350,350,14800,895.85,758621532.8
Airbus A350,350,14800,1115.1,372485133
Cessna 172,4,1285,4853.42,411488.4
Boeing 777,396,15600,2649,370650178.3
Cessna 172,4,1285,1289.16,436350.66
Boeing 777,396,15600,3869.35,393734229.4
Airbus A320,180,6300,4907.49,75003700.91
Airbus A320,180,6300,957.73,87188339.97
Boeing 777,396,15600,1400.05,416279631.8
Airbus A320,180,6300,1693.8,84209049.71
Airbus A350,350,14800,2820.98,400854700
Cessna 172,4,1285,1687.03,246401.39
Boeing 737,162,5700,709.43,72570492.42
Bombardier CRJ200,50,3000,2184.96,12351335.42
Cessna 172,4,1285,507.67,242592.92
Airbus A350,350,14800,3869.97,391697837.4
Airbus A350,350,14800,1841.52,370845233.9
Bombardier CRJ200,50,3000,1448.85,13211503.07
Airbus A350,350,14800,1864.95,596540295.7
Cessna 172,4,1285,3311.79,258061.02
Boeing 737,162,5700,2435.74,56872297.25
Airbus A350,350,14800,2928.94,382784742.2
Cessna 172,4,1285,932.93,211762.13
Boeing 777,396,15600,1014.48,833900950
Bombardier CRJ200,50,3000,3988.45,13842660.2
Boeing 777,396,15600,3171.27,337722174.2
Airbus A350,350,14800,1228.05,362555704.7
Boeing 737,162,5700,3707.39,54028580.07
Boeing 777,396,15600,1248.17,417170375.2
Airbus A320,180,6300,3925.89,100076403.7
Bombardier CRJ200,50,3000,4708.36,12281239.68
Airbus A350,350,14800,4988.78,503854455.3
Boeing 737,162,5700,4528.12,64031392.27
Bombardier CRJ200,50,3000,4875.53,22376775.27
Cessna 172,4,1285,2239.02,268436.69
Boeing 737,162,5700,3359.36,70193067.46
Bombardier CRJ200,50,3000,4382.51,12418999.72
Cessna 172,4,1285,2063.61,321850.67
Boeing 737,162,5700,2200.14,118044513.8
Boeing 777,396,15600,718.3,663750469.9
Airbus A320,180,6300,3063.87,148206228.3
Boeing 777,396,15600,2432.04,599769108.1
Bombardier CRJ200,50,3000,3494.25,22853570.56
Airbus A320,180,6300,746.03,101652375.6
Cessna 172,4,1285,4917.42,221923.57
Cessna 172,4,1285,2625.45,216803.25
Bombardier CRJ200,50,3000,831.47,11808781.34
Boeing 737,162,5700,2987.13,64426566.08
Cessna 172,4,1285,4497.92,324330.23
Boeing 737,162,5700,3228.71,103918341.8
Cessna 172,4,1285,2700.02,335632.17
Bombardier CRJ200,50,3000,3509.6,15718434.82
Bombardier CRJ200,50,3000,1254.03,10525674.34
Airbus A350,350,14800,2261.26,344271230.5
Airbus A350,350,14800,4782.22,413430036
Cessna 172,4,1285,2549.52,182980.85
Boeing 777,396,15600,2239.84,378475316
Cessna 172,4,1285,2876.12,242771.09
Bombardier CRJ200,50,3000,3101.41,11005191.13
Airbus A320,180,6300,2233.78,154289728.7
Boeing 777,396,15600,3445.32,882803939.3
Boeing 737,162,5700,4776.01,65893636.04
Bombardier CRJ200,50,3000,2434.33,15507926.87
Boeing 777,396,15600,4589.83,654081033.4
Boeing 737,162,5700,1222.49,129014884.4
Airbus A350,350,14800,3722.5,564726727
Bombardier CRJ200,50,3000,2449.48,11995278.45
Bombardier CRJ200,50,3000,2564.66,11212105.03
Cessna 172,4,1285,813.03,185100.85
Cessna 172,4,1285,3233.9,231599.67
Cessna 172,4,1285,2002.19,176483.81
Cessna 172,4,1285,2056.81,333432.66
Boeing 777,396,15600,3286.02,414599593.9
Cessna 172,4,1285,1872.82,338616.3
Boeing 777,396,15600,3504.51,828517365.7
Airbus A320,180,6300,4877.01,66747197.84
Boeing 777,396,15600,923.87,403824375.9
Bombardier CRJ200,50,3000,3860.72,11923851.28
Cessna 172,4,1285,2466.89,350829.16
Cessna 172,4,1285,2221.67,196002.53
Boeing 777,396,15600,916.86,787424458.3
Boeing 777,396,15600,2958.34,695194818.4
Bombardier CRJ200,50,3000,4053.79,19737826.5
Cessna 172,4,1285,3661.59,355354.31
Bombardier CRJ200,50,3000,1918.63,12992594.76
Boeing 777,396,15600,3990.9,644879413
Cessna 172,4,1285,1565.48,368571.77
Boeing 737,162,5700,3349.64,113655135
Boeing 737,162,5700,3966.51,80394455.75
Airbus A320,180,6300,3515.78,138614370.2
Airbus A350,350,14800,1277.29,544660155
Airbus A320,180,6300,4096.15,116055413.1
Airbus A320,180,6300,3159.27,84974421.52
Airbus A350,350,14800,4300.13,354786708.2
Boeing 737,162,5700,3380.99,123087358.6
Bombardier CRJ200,50,3000,810.23,22843891.66
Airbus A350,350,14800,4281.82,544682335.2
Cessna 172,4,1285,701.78,330524.02
Cessna 172,4,1285,3103.01,221118.25
Cessna 172,4,1285,569.19,306049.81
Airbus A350,350,14800,2598.64,357485695.8
Boeing 777,396,15600,3892.71,670580956.1
Airbus A320,180,6300,4920.34,121207335
Boeing 737,162,5700,4208.81,112998263.7
Boeing 777,396,15600,1721.68,818952487
Boeing 737,162,5700,1118.34,87053908.4
Airbus A320,180,6300,4113.71,147876947.5
Airbus A320,180,6300,4988.96,79948202.53
Bombardier CRJ200,50,3000,3912.85,11424023.88
Bombardier CRJ200,50,3000,4128.8,13524160.02
Airbus A350,350,14800,2786.12,744948447.6
Bombardier CRJ200,50,3000,4743.99,18886235.04
Boeing 737,162,5700,3224.41,67860769.03
Boeing 737,162,5700,1352.73,57849654.48
Cessna 172,4,1285,3267.92,228531.92
Boeing 777,396,15600,1213.95,452574353.8
Boeing 777,396,15600,2601.31,386522712.7
Airbus A350,350,14800,711.08,562902792.8
Airbus A350,350,14800,2477.71,352885919.4
Boeing 777,396,15600,951.34,692132071.8
Airbus A320,180,6300,1219.54,164771146.7
Bombardier CRJ200,50,3000,2998.9,10461454.41
Cessna 172,4,1285,543.77,427331.9
Airbus A350,350,14800,3705.74,386916077.1
Cessna 172,4,1285,2242.21,290609.12
Boeing 777,396,15600,3126.11,579042012.8
Boeing 777,396,15600,2168.16,439457474.1
Bombardier CRJ200,50,3000,4293.56,12871374.62
Cessna 172,4,1285,3756.87,260631
Airbus A350,350,14800,2773.01,368263690.4
Airbus A350,350,14800,1656.37,378572370.4
Airbus A320,180,6300,4367.6,104947254.4
Airbus A320,180,6300,1661.91,75568842.59
Cessna 172,4,1285,3188.34,406768.81
Boeing 777,396,15600,1502.45,370906532.5
Cessna 172,4,1285,3362.5,220044.64
Bombardier CRJ200,50,3000,3505.17,15126341.43
Boeing 777,396,15600,4804.16,407066449.2
Airbus A350,350,14800,2147,657830559.9
Airbus A350,350,14800,1875.49,531516305.4
Boeing 737,162,5700,2676.67,116033205.2
Airbus A350,350,14800,4279.03,704860540
Boeing 777,396,15600,4154.2,442366597.6
Airbus A320,180,6300,4761.66,90901753.32
Cessna 172,4,1285,2592.7,211067.7
Cessna 172,4,1285,608.63,441004.27
Boeing 737,162,5700,1271.85,84765641.86
Airbus A350,350,14800,2139.82,383146114.4
Airbus A320,180,6300,1819.98,117221036.2
Boeing 777,396,15600,2309.77,605582942.9
Boeing 777,396,15600,2724.79,435412683.6
Boeing 777,396,15600,1366.01,394519679.7
Boeing 777,396,15600,3138.63,447871427.4
Boeing 777,396,15600,1889.69,553883559.5
Boeing 777,396,15600,2104.15,446382624.1
Boeing 737,162,5700,4924.48,62632116.1
Airbus A320,180,6300,2289.79,91712065.68
Airbus A320,180,6300,3284.63,112766261.5
Bombardier CRJ200,50,3000,920.66,18475260.16
Airbus A320,180,6300,2768.2,115674026.2
Boeing 777,396,15600,1586.67,388378704.3
Cessna 172,4,1285,1860.64,239909.52
Bombardier CRJ200,50,3000,2342.61,23665363.36
Boeing 777,396,15600,4550.11,422234515
Boeing 777,396,15600,2758.52,365243170.6
Airbus A350,350,14800,2725.32,663608842.8
Boeing 737,162,5700,2830.65,142774823.3
Airbus A350,350,14800,4526.77,687969721.1
Cessna 172,4,1285,2838.15,151481.17
Boeing 737,162,5700,3422.3,77713972.36
Airbus A320,180,6300,3378.97,82723950.37
Cessna 172,4,1285,1299.81,329210.42
Airbus A350,350,14800,778.12,303156050.1
Boeing 777,396,15600,2048.35,576149787.3
Airbus A350,350,14800,4718.3,369406104.3
Cessna 172,4,1285,2356.79,307143.38
Airbus A350,350,14800,1863.03,596951739.9
Boeing 777,396,15600,1333.18,440733702.8
Airbus A320,180,6300,2124.48,100515149.3
Boeing 777,396,15600,3725.02,566512335.9
Bombardier CRJ200,50,3000,1647.66,24326707.58
Cessna 172,4,1285,1278.78,350962.79
Bombardier CRJ200,50,3000,4955.78,21779528.85
Boeing 777,396,15600,936.81,443455675.5
Cessna 172,4,1285,3073.78,214927.52
Cessna 172,4,1285,2498.6,254901.94
Cessna 172,4,1285,2154.27,213702.94
Bombardier CRJ200,50,3000,631.77,20471545.86
Boeing 737,162,5700,1742.32,65066794.45
Boeing 737,162,5700,2680.42,68182582.53
Boeing 777,396,15600,2037.12,517936330.5
Airbus A320,180,6300,4318.99,129583117
Airbus A320,180,6300,2535.55,70599784.84
Airbus A320,180,6300,4002.63,160050699
Boeing 777,396,15600,1774.62,362551550.5
Airbus A320,180,6300,3578.89,87661445.04
Boeing 777,396,15600,4146.12,667572883.5
Cessna 172,4,1285,4025.66,223224.86
Bombardier CRJ200,50,3000,3479.74,17442226.76
Bombardier CRJ200,50,3000,3787.25,13528178.02
Boeing 737,162,5700,2519.44,66849337
Boeing 777,396,15600,3015.8,625365103.8
Cessna 172,4,1285,2222.56,263915.93
Cessna 172,4,1285,2942.25,320860.13
Airbus A350,350,14800,2648.98,362410511.1
Bombardier CRJ200,50,3000,4693.91,13107640.78
Airbus A350,350,14800,4816.57,731261667.3
Bombardier CRJ200,50,3000,2890.87,10776950.1
Airbus A350,350,14800,4270.54,372229251.2
Boeing 737,162,5700,2809.8,63793663.59
Cessna 172,4,1285,1795.28,217123.7
Boeing 777,396,15600,1077.12,433528051.9
Cessna 172,4,1285,683.78,247245.8
Bombardier CRJ200,50,3000,3388.49,16474552.11
Bombardier CRJ200,50,3000,2216.84,12977739.37
Boeing 737,162,5700,3753.11,60499281.06
Cessna 172,4,1285,846.52,204962.82
Boeing 737,162,5700,1548.81,111730901
Cessna 172,4,1285,3713.22,179228.59
Airbus A350,350,14800,1321.69,327822051.1
Cessna 172,4,1285,700.22,214845.01
Boeing 777,396,15600,3795.17,630068479.5
Airbus A320,180,6300,3334.1,157589465.7
Boeing 777,396,15600,3496.2,380414633.2
Airbus A320,180,6300,2507.58,96683087.31
Cessna 172,4,1285,2153.27,196685.98
Airbus A350,350,14800,3792.47,346488980.1
Boeing 777,396,15600,3688.84,638366803.4
Boeing 777,396,15600,2785.7,413335796.5
Boeing 777,396,15600,4242.14,753835627.3
Boeing 777,396,15600,2942.91,621781813.1
Airbus A350,350,14800,2096.4,377017214.5
Boeing 737,162,5700,2176.18,64336188.62
Cessna 172,4,1285,4480.57,180854.04
Bombardier CRJ200,50,3000,2639.55,18551335
Bombardier CRJ200,50,3000,2091.28,16520042.96
Bombardier CRJ200,50,3000,3473.64,12562694.87
Boeing 737,162,5700,2440.24,106652572
Bombardier CRJ200,50,3000,609.07,17317889.5
Bombardier CRJ200,50,3000,4416.59,16503627.84
Boeing 737,162,5700,3459.82,95278238.57
Airbus A320,180,6300,3075.89,71025095.53
Bombardier CRJ200,50,3000,4413.06,11097354.31
Bombardier CRJ200,50,3000,506.51,27172620
Boeing 737,162,5700,1994.04,75265567.26
Airbus A320,180,6300,4168.5,96215505.36
Cessna 172,4,1285,966.56,384780.58
Bombardier CRJ200,50,3000,3098.85,14704362.91
Boeing 737,162,5700,3062.85,77727994.38
Bombardier CRJ200,50,3000,1478.72,23020400.63
Bombardier CRJ200,50,3000,903.39,13244883.01
Cessna 172,4,1285,759.81,354344.09
Airbus A320,180,6300,3707.07,78489682.51
Bombardier CRJ200,50,3000,1083.13,13980520.84
Airbus A320,180,6300,1534.28,138045833.5
Airbus A320,180,6300,4857.87,92232395.92
Boeing 777,396,15600,1149.64,449462717
Boeing 737,162,5700,1091.37,112826429.7
Bombardier CRJ200,50,3000,1035.83,20843692.65
Bombardier CRJ200,50,3000,4092.05,18814581.14
Airbus A320,180,6300,4982.72,103973497.9
Airbus A320,180,6300,2695.11,71456059.71
Boeing 777,396,15600,1072.59,408766995.7
Cessna 172,4,1285,3621.14,354600.59
Bombardier CRJ200,50,3000,3831.48,12418548.22
Airbus A350,350,14800,4929.6,673001140.5
Airbus A350,350,14800,1890.93,357269183.2
Cessna 172,4,1285,3014.21,247214.05
Boeing 737,162,5700,1699.29,65669526.55
Boeing 777,396,15600,1707.09,423154605.2
Cessna 172,4,1285,1265.22,319727.34
Airbus A350,350,14800,1037.23,390124412.8
Airbus A350,350,14800,2107.56,403452950.8
Cessna 172,4,1285,671.9,336209.68
Airbus A320,180,6300,2709.24,70810789.46
Boeing 737,162,5700,3503.88,146203314.3
Airbus A320,180,6300,896.02,100898183.6
Bombardier CRJ200,50,3000,2542.32,13976733.18
Airbus A320,180,6300,1526.69,70672966.81
Boeing 737,162,5700,2192.55,64114732.55
Airbus A350,350,14800,2760.99,622440145.3
Airbus A350,350,14800,3085.27,597565873.1
Cessna 172,4,1285,2006.35,445393.92
Boeing 777,396,15600,3774.74,677805997.7
Bombardier CRJ200,50,3000,4621.06,14766585.03
Cessna 172,4,1285,717.9,256657.01
Airbus A320,180,6300,3367.79,150110963.5
Airbus A350,350,14800,915.67,387867467.9
Airbus A320,180,6300,2762.25,79092467.59
Boeing 777,396,15600,1495.48,384216121.3
Bombardier CRJ200,50,3000,4572.02,11930796.53
Cessna 172,4,1285,3519.19,233521.56
Airbus A350,350,14800,4492.83,349656264.6
Airbus A320,180,6300,4450.19,72833837.25
Cessna 172,4,1285,1808.15,255776.19
Airbus A320,180,6300,2503.4,145893482
Airbus A320,180,6300,2919.04,130391085.8
Boeing 777,396,15600,3337.87,800302210.1
Boeing 737,162,5700,1466.07,75228772.65
Airbus A350,350,14800,3620.22,376336766.6
Bombardier CRJ200,50,3000,2871.14,19723757.88
Boeing 737,162,5700,824.45,115228084.2
Boeing 737,162,5700,2015.95,102694589.7
Airbus A350,350,14800,2910.49,306119537.2
Bombardier CRJ200,50,3000,4787.71,20775601.72
Boeing 737,162,5700,4725.01,102926083.9
Airbus A320,180,6300,819.19,100623108.2
Bombardier CRJ200,50,3000,3837.64,10026376.58
Airbus A320,180,6300,2248.76,82105549.96
Airbus A320,180,6300,4351.28,72837573.65
Bombardier CRJ200,50,3000,4793.39,16341846.76
Airbus A350,350,14800,4136.76,824044227.8
Boeing 737,162,5700,4826.83,54601443.96
Bombardier CRJ200,50,3000,3682.43,27901931.47
Boeing 737,162,5700,4369.01,65903609.98
Airbus A350,350,14800,3289.38,408010774.9
Airbus A320,180,6300,2100.28,79564064.99
Cessna 172,4,1285,2553.26,233491.59
Airbus A320,180,6300,3278.45,87731933
Bombardier CRJ200,50,3000,1247.86,18541225.7
Airbus A320,180,6300,3349.04,79047488.16
Bombardier CRJ200,50,3000,856.25,11552181.16
Boeing 777,396,15600,2061.45,838281327.8
Airbus A350,350,14800,737.16,352396021.9
Airbus A320,180,6300,1883.64,129490956.5
Bombardier CRJ200,50,3000,4706.75,13308652.91
Bombardier CRJ200,50,3000,4643.88,23808184.46
Cessna 172,4,1285,1775.51,228022.97
Boeing 777,396,15600,3024.08,396332557.8
Boeing 737,162,5700,1007.98,67450160.26
Cessna 172,4,1285,2123.53,425286.96
Bombardier CRJ200,50,3000,1041.3,21328200.77
Boeing 777,396,15600,514.93,409134684.8
Bombardier CRJ200,50,3000,1488.59,15626395.29
Airbus A320,180,6300,4298.21,174792786.3
Airbus A350,350,14800,2923.45,337092957.2
Cessna 172,4,1285,4677.89,233036.03
Boeing 777,396,15600,2363.43,418565399.5
Airbus A350,350,14800,3735.4,363513972.2
Bombardier CRJ200,50,3000,3779.63,20399108.2
Airbus A320,180,6300,716.57,140720620.7
Cessna 172,4,1285,3304.02,291660.76
Bombardier CRJ200,50,3000,4296.31,20726681.66
Boeing 737,162,5700,4032.74,66891805.95
Airbus A350,350,14800,3541.35,284718377.6
Boeing 777,396,15600,2105.31,371221592.1
Boeing 777,396,15600,3545.09,628614043.9
Cessna 172,4,1285,609,270597.47
Boeing 777,396,15600,2726.08,420215141.3
Boeing 737,162,5700,3107.78,61626421.68
Bombardier CRJ200,50,3000,2640.02,12093580.48
Airbus A320,180,6300,3536.91,124311008.8
Airbus A350,350,14800,825.68,322594923.6
Cessna 172,4,1285,3411.66,211197.05
Airbus A320,180,6300,4755.7,104987388.8
Boeing 777,396,15600,1883.76,411343688.4
Cessna 172,4,1285,2649.26,395899.89
Airbus A350,350,14800,3956.62,347809799.8
Airbus A350,350,14800,1050.14,708637746.8
Airbus A350,350,14800,4746.34,422717351
Airbus A320,180,6300,1096.58,89916677.42
Bombardier CRJ200,50,3000,3681.23,11690122.78
Boeing 777,396,15600,927.92,350605405.8
Bombardier CRJ200,50,3000,2195.42,21035636.6
Boeing 737,162,5700,4000.23,58855605.79
Bombardier CRJ200,50,3000,1956.26,12348688.76
Airbus A320,180,6300,3528.06,77356824.85
Boeing 737,162,5700,722.09,95136851.16
Airbus A350,350,14800,1680.93,579904178.1
Bombardier CRJ200,50,3000,3679.19,14819440.02
Airbus A350,350,14800,1131.63,396979607.7
Boeing 737,162,5700,1898.92,86639764.63
Cessna 172,4,1285,2615.54,371845.8
Boeing 777,396,15600,2085.72,400016090.2
Airbus A320,180,6300,2986.56,65051832.37
Airbus A350,350,14800,2623.01,409968698.2
Boeing 777,396,15600,1760.91,615265281
Boeing 737,162,5700,668.15,66692965.38
Cessna 172,4,1285,1425.97,242385.62
Cessna 172,4,1285,4175.61,239954.99
Airbus A320,180,6300,3025.01,68647185.66
Airbus A350,350,14800,4548.83,582212018.8
Boeing 737,162,5700,3270.8,93196617.28
Boeing 777,396,15600,2560.56,387129097.6
Airbus A320,180,6300,3676.22,109036871
Boeing 737,162,5700,3093.67,100179776.7
Cessna 172,4,1285,965.81,201285.84
Bombardier CRJ200,50,3000,813.67,12844817.97
Boeing 737,162,5700,3044.29,46862030.91
Boeing 737,162,5700,712.53,62718743.1
Bombardier CRJ200,50,3000,688.32,11269327.94
Boeing 737,162,5700,1503.5,45208503.23
Boeing 737,162,5700,4012.42,77664181.04
Boeing 737,162,5700,3232.89,71734074.47
Airbus A350,350,14800,2210.42,360084517.1
Boeing 737,162,5700,1667.64,56704459.98
Boeing 777,396,15600,1531.19,678054527.1
Airbus A350,350,14800,3555.18,424481603.3
Airbus A350,350,14800,2946.02,391401425.6
Bombardier CRJ200,50,3000,952.1,10741165.34
Boeing 737,162,5700,2598.16,101720601.2
Airbus A320,180,6300,2232.46,98978005.19
Cessna 172,4,1285,4933.35,465975.55
Airbus A350,350,14800,3401.27,576093457.3
Airbus A350,350,14800,2365.03,695525836.6
Airbus A350,350,14800,750.5,385283771.7
Boeing 737,162,5700,3624.32,109632917.1
Boeing 777,396,15600,639.63,338337973.8
Airbus A320,180,6300,3027.53,131822290.8
